POS Txn,Dept,ID,Sales U
16120100160022000000,LDS OUTERWEAR/OUTDR,1,1
16120100160023000000,LDS OUTERWEAR/OUTDR,1,1
16120100160032000000,LDS OUTERWEAR/OUTDR,1,1
16120100160033000000,LDS OUTERWEAR/OUTDR,1,1
16120100160033000000,LDS OUTERWEAR/OUTDR,1,1
16120100160034000000,LDS OUTERWEAR/OUTDR,1,1
16120100160035000000,LDS OUTERWEAR/OUTDR,1,1
16120100160036000000,LDS OUTERWEAR/OUTDR,1,1
16120100160036000000,LDS OUTERWEAR/OUTDR,1,1
16120100160037000000,LDS OUTERWEAR/OUTDR,1,1
16120100160037000000,LDS OUTERWEAR/OUTDR,1,2
16120100160037000000,LDS OUTERWEAR/OUTDR,1,1
16120100160037000000,LDS OUTERWEAR/OUTDR,1,1
16120100160038000000,LDS OUTERWEAR/OUTDR,1,1
16120100160038000000,LDS OUTERWEAR/OUTDR,1,1
16120100160038000000,LDS OUTERWEAR/OUTDR,1,3
16120100160077000000,LDS OUTERWEAR/OUTDR,1,0
16120100160077000000,LDS OUTERWEAR/OUTDR,1,-1
16120100160077000000,LDS OUTERWEAR/OUTDR,1,1
16120100160078000000,LDS OUTERWEAR/OUTDR,1,0
16120100160078000000,LDS OUTERWEAR/OUTDR,1,-1
16120100160078000000,LDS OUTERWEAR/OUTDR,1,1
16120100160079000000,LDS OUTERWEAR/OUTDR,1,-1
16120100160079000000,LDS OUTERWEAR/OUTDR,1,-2
16120100160079000000,LDS OUTERWEAR/OUTDR,1,-1
16120100160079000000,LDS OUTERWEAR/OUTDR,1,-1
16120100160094000000,LDS OUTERWEAR/OUTDR,1,1
16120100160024000000,JUNIORS SURF,2,1
16120100160033000000,JUNIORS SURF,2,1
16120100160036000000,JUNIORS SURF,2,1
16120100160077000000,JUNIORS SURF,2,5
16120100160033000000,LADIES DRESSES,3,1
16120100160037000000,LADIES DRESSES,3,1
16120100160162000000,LADIES DRESSES,3,3
16120100160023000000,MISSY KAREN SCOTT,5,1
16120100160023000000,MISSY KAREN SCOTT,5,1
16120100160024000000,MISSY KAREN SCOTT,5,2
16120100160024000000,MISSY KAREN SCOTT,5,2
16120100160031000000,MISSY KAREN SCOTT,5,2
16120100160034000000,MISSY KAREN SCOTT,5,1
16120100160034000000,MISSY KAREN SCOTT,5,2
16120100160035000000,MISSY KAREN SCOTT,5,1
16120100160035000000,MISSY KAREN SCOTT,5,2
16120100160036000000,MISSY KAREN SCOTT,5,1
16120100160036000000,MISSY KAREN SCOTT,5,5
16120100160036000000,MISSY KAREN SCOTT,5,6
16120100160038000000,MISSY KAREN SCOTT,5,2
16120100160038000000,MISSY KAREN SCOTT,5,1
16120100160078000000,MISSY KAREN SCOTT,5,0
16120100160079000000,MISSY KAREN SCOTT,5,1
16120100160079000000,MISSY KAREN SCOTT,5,-1
16120100160094000000,MISSY KAREN SCOTT,5,-1
16120100160031000000,JUNIOR TOPS,6,1
16120100160032000000,JUNIOR TOPS,6,2
16120100160032000000,JUNIOR TOPS,6,1
16120100160033000000,JUNIOR TOPS,6,1
16120100160033000000,JUNIOR TOPS,6,1
16120100160035000000,JUNIOR TOPS,6,1
16120100160035000000,JUNIOR TOPS,6,1
16120100160035000000,JUNIOR TOPS,6,1
16120100160035000000,JUNIOR TOPS,6,1
16120100160036000000,JUNIOR TOPS,6,1
16120100160036000000,JUNIOR TOPS,6,1
16120100160037000000,JUNIOR TOPS,6,1
16120100160037000000,JUNIOR TOPS,6,2
16120100160038000000,JUNIOR TOPS,6,1
16120100160077000000,JUNIOR TOPS,6,-1
16120100160078000000,JUNIOR TOPS,6,-1
16120100160078000000,JUNIOR TOPS,6,2
16120100160079000000,JUNIOR TOPS,6,-1
16120100160036000000,LIFE IS GOOD,7,1
16120100160038000000,LIFE IS GOOD,7,4
16120100160023000000,MISSY TOPS,8,1
16120100160031000000,MISSY TOPS,8,1
16120100160033000000,MISSY TOPS,8,2
16120100160033000000,MISSY TOPS,8,3
16120100160033000000,MISSY TOPS,8,2
16120100160035000000,MISSY TOPS,8,1
16120100160035000000,MISSY TOPS,8,1
16120100160037000000,MISSY TOPS,8,1
16120100160037000000,MISSY TOPS,8,1
16120100160038000000,MISSY TOPS,8,2
16120100160038000000,MISSY TOPS,8,1
